"V1","V2"
"Cwc27","AK183279"
"Irg1","Marcksl1"
"Ifit1","Parp14"
"Slfn5","Ifit1"
"Slfn2","Zfand5"
"Ddt","Taok3"
"Gm4902","AK087295"
"nssr 1","Cnpy4"
"Ehd1","Actn1"
"Vti1b","Psmg4"
"Tmem43","Gsr"
"Srxn1","H2-Ab1"
"Rgs10","mKIAA0899"
"Rpia","Hnrnpul1"
"Pitpnm1","Tcea1"
"Snx5","Agfg2"
"Cnot2","Sec61a2"
"2410001C21Rik","Pla2g7"
"Ddx58","Itga5"
"Anpep","Gapdh"
"Strn","Btk"
"Cerk","Arhgap6"
"Ifi47","Tlr2"
"Nr3c1","Tank"
"Skiv2l","Drap1"
"Gbp3","Ifih1"
"Glyr1","Polr2a"
"Slfn5","Irg1"
"Gbp2","Filip1l"
"B4galnt1","Pts"
"Slfn2","Ptgs2"
"AK017779","Ifi35"
"Anpep","Ddx21"
"Cyc1","Hars2"
"Actr10","Csnk2a2"
"Sh3glb1","AK171687"
"Znfx1","Relb"
"Sumo1","Frmd8"
"Dhfr","Msto1"
"Ifit1","Fpr2"
"Zbtb7a","pub"
"Chd8","Ireb2"
"Irgm1","Oasl1"
"Slc7a2","Bst2"
"Psmg1","Ankhd1"
"Ccl5","Parp14"
"Sun2","Fkbp8"
"Gbp5","Ccl5"
"Gabpb1","Mars"
"Srxn1","Tmod3"
"Hadhb","Rela"
"Irg1","Rsad2"
"Acsl1","Psmb10"
"Cfp","Sdcbp"
"Cd38","Tor1aip1"
"Ifi35","Mir147"
"Clec4d","Itga5"
"Idh1","Prpsap2"
"B4galnt1","Rpl36al"
"Cbl","Gtf2f2"
"Ehd1","Stat5a"
"Zmiz1","Chchd2"
"BC002288","Gm4902"
"Pyhin1","Irgm1"
"Idh3b","Smc1a"
"Ifi205","Ifih1"
"Sbds","Kpna3"
"Tnfaip2","Cd14"
"Slfn5","Parp14"
"Rassf4","Sbds"
"Atp5f1","Cox4i1"
"Lrrc8c","Gtl-13"
"Pdlim7","Pacs2"
"Chm","Uevld"
"Irg1","Ccl5"
"Cnp","Maea"
"Gbp5","Cyp4v3"
"Trip12","pub"
"Lgals9","Casp7"
"Rps10","Snx18"
"Ccl5","Rnf213"
"Dtx3l","Eif1"
"Ifi47","Gbp5"
"Tor1aip1","Pfkp"
"KIAA0143","Hnrnpa2b1"
"Slc7a2","Bst2"
"Baz1a","Sub1"
"Tcea1","Gas7"
"Carhsp1","Setd3"
"Ctbp1","Atxn3"
"Glt25d1","GRC"
"Gbp3","Bst2"
"Nr3c1","Csde1"
"Slfn5","Cpeb4"
"Tbcd","Cnbp"
"Supt6h","Aldh9a1"
"Trex1","Itga5"
"Git1","BC005624"
"Dnaja1","Ccdc86"
"Ptgs2","Rsad2"
"AI607873","AK006748"
"Nit1","1300010F03Rik"
"Ddx58","Rsad2"
"Hspa8","Ampd3"
"9030625A04Rik","Med20"
"Stk10","Mcm4"
"Xaf1","Rnf213"
"Ddt","Rpl36al"
"Fech","Akr1c13"
"Cmpk2","Itga5"
"Ifi205","Marcksl1"
"Eif3m","Sh3bgrl"
"Slc25a1","Cox4i1"
"Sqstm1","Clec4d"
"Irg1","Irgm1"
"Irg1","Tlr2"
"BC002288","Pyhin1"
"Snrnp40","Cyba"
"Vps18","Cnot1"
"Slfn2","Sqstm1"
"Ugdh","Prpsap1"
"Maea","Cpsf1"
"Pgd","Snrpa"
